Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Avg Reward over 20 episodes: -14.95 (Duration: 31.62s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 147720, Episode: 151, Reward: -21.00, Epsilon: 0.876
Step: 148580, Episode: 152, Reward: -21.00, Epsilon: 0.875
Step: 149737, Episode: 153, Reward: -19.00, Epsilon: 0.874
Step: 150906, Episode: 154, Reward: -19.00, Epsilon: 0.873
Step: 151839, Episode: 155, Reward: -21.00, Epsilon: 0.872
Step: 152890, Episode: 156, Reward: -20.00, Epsilon: 0.871
Step: 153860, Episode: 157, Reward: -21.00, Epsilon: 0.871
Step: 155037, Episode: 158, Reward: -20.00, Epsilon: 0.869
Step: 155950, Episode: 159, Reward: -21.00, Epsilon: 0.869
Step: 157028, Episode: 160, Reward: -19.00, Epsilon: 0.868
Step: 157990, Episode: 161, Reward: -21.00, Epsilon: 0.867
Step: 159253, Episode: 162, Reward: -18.00, Epsilon: 0.866
Step: 160047, Episode: 163, Reward: -21.00, Epsilon: 0.865
Step: 161148, Episode: 164, Reward: -20.00, Epsilon: 0.864
Step: 162163, Episode: 165, Reward: -20.00, Epsilon: 0.863
Step: 163183, Episode: 166, Reward: -21.00, Epsilon: 0.862
Step: 164128, Episode: 167, Reward: -20.00, Epsilon: 0.861
Step: 165156, Episode: 168, Reward: -20.00, Epsilon: 0.860
Step: 166270, Episode: 169, Reward: -19.00, Epsilon: 0.859
Step: 167138, Episode: 170, Reward: -21.00, Epsilon: 0.859
Step: 168097, Episode: 171, Reward: -19.00, Epsilon: 0.858
Step: 169065, Episode: 172, Reward: -20.00, Epsilon: 0.857
Step: 169947, Episode: 173, Reward: -21.00, Epsilon: 0.856
Step: 170835, Episode: 174, Reward: -21.00, Epsilon: 0.855
Step: 171943, Episode: 175, Reward: -19.00, Epsilon: 0.854
Step: 173050, Episode: 176, Reward: -19.00, Epsilon: 0.853
Step: 173842, Episode: 177, Reward: -21.00, Epsilon: 0.853
Step: 174851, Episode: 178, Reward: -20.00, Epsilon: 0.852
Step: 176087, Episode: 179, Reward: -18.00, Epsilon: 0.851
Step: 177330, Episode: 180, Reward: -20.00, Epsilon: 0.849
Step: 178439, Episode: 181, Reward: -18.00, Epsilon: 0.848
Step: 179464, Episode: 182, Reward: -20.00, Epsilon: 0.847
Step: 180494, Episode: 183, Reward: -21.00, Epsilon: 0.847
Step: 181672, Episode: 184, Reward: -19.00, Epsilon: 0.845
Step: 182810, Episode: 185, Reward: -18.00, Epsilon: 0.844
Step: 183766, Episode: 186, Reward: -20.00, Epsilon: 0.844
Step: 184784, Episode: 187, Reward: -20.00, Epsilon: 0.843
Step: 185746, Episode: 188, Reward: -21.00, Epsilon: 0.842
Step: 187016, Episode: 189, Reward: -18.00, Epsilon: 0.841
Step: 188025, Episode: 190, Reward: -19.00, Epsilon: 0.840
Step: 188998, Episode: 191, Reward: -21.00, Epsilon: 0.839
Step: 189995, Episode: 192, Reward: -21.00, Epsilon: 0.838
Step: 191374, Episode: 193, Reward: -17.00, Epsilon: 0.837
Step: 192618, Episode: 194, Reward: -20.00, Epsilon: 0.836
Step: 193806, Episode: 195, Reward: -20.00, Epsilon: 0.835
Step: 194910, Episode: 196, Reward: -20.00, Epsilon: 0.834
Step: 195770, Episode: 197, Reward: -21.00, Epsilon: 0.833
Step: 196700, Episode: 198, Reward: -20.00, Epsilon: 0.832
Step: 197993, Episode: 199, Reward: -20.00, Epsilon: 0.831
Step: 199009, Episode: 200, Reward: -21.00, Epsilon: 0.830
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 200, Step 199009) ---
Avg Reward over 20 episodes: -18.45 (Duration: 21.25s)
--------------------------------------------------
Step: 199849, Episode: 201, Reward: -21.00, Epsilon: 0.829
Step: 200735, Episode: 202, Reward: -21.00, Epsilon: 0.828
Step: 201499, Episode: 203, Reward: -21.00, Epsilon: 0.828
Step: 202430, Episode: 204, Reward: -20.00, Epsilon: 0.827
Step: 203484, Episode: 205, Reward: -20.00, Epsilon: 0.826
Step: 204472, Episode: 206, Reward: -20.00, Epsilon: 0.825
Step: 205573, Episode: 207, Reward: -19.00, Epsilon: 0.824
Step: 206456, Episode: 208, Reward: -21.00, Epsilon: 0.823
Step: 207364, Episode: 209, Reward: -21.00, Epsilon: 0.822
Step: 208667, Episode: 210, Reward: -19.00, Epsilon: 0.821
Step: 209772, Episode: 211, Reward: -20.00, Epsilon: 0.820
Step: 210973, Episode: 212, Reward: -20.00, Epsilon: 0.819
Step: 212056, Episode: 213, Reward: -21.00, Epsilon: 0.818
Step: 213005, Episode: 214, Reward: -20.00, Epsilon: 0.817
Step: 213956, Episode: 215, Reward: -21.00, Epsilon: 0.816
Step: 215076, Episode: 216, Reward: -18.00, Epsilon: 0.815
Step: 215921, Episode: 217, Reward: -21.00, Epsilon: 0.815
Step: 216958, Episode: 218, Reward: -20.00, Epsilon: 0.814
Step: 217979, Episode: 219, Reward: -20.00, Epsilon: 0.813
Step: 219034, Episode: 220, Reward: -20.00, Epsilon: 0.812
Step: 220057, Episode: 221, Reward: -20.00, Epsilon: 0.811
Step: 221011, Episode: 222, Reward: -21.00, Epsilon: 0.810
Step: 222166, Episode: 223, Reward: -18.00, Epsilon: 0.809
Step: 223051, Episode: 224, Reward: -21.00, Epsilon: 0.808
Step: 224160, Episode: 225, Reward: -19.00, Epsilon: 0.807
Step: 225274, Episode: 226, Reward: -19.00, Epsilon: 0.806
Step: 226174, Episode: 227, Reward: -21.00, Epsilon: 0.805
Step: 227289, Episode: 228, Reward: -20.00, Epsilon: 0.804
Step: 228401, Episode: 229, Reward: -21.00, Epsilon: 0.803
Step: 229587, Episode: 230, Reward: -19.00, Epsilon: 0.802
Step: 230411, Episode: 231, Reward: -21.00, Epsilon: 0.802
Step: 231231, Episode: 232, Reward: -21.00, Epsilon: 0.801
Step: 232136, Episode: 233, Reward: -20.00, Epsilon: 0.800
Step: 233196, Episode: 234, Reward: -19.00, Epsilon: 0.799
Step: 234077, Episode: 235, Reward: -21.00, Epsilon: 0.798
Step: 234939, Episode: 236, Reward: -21.00, Epsilon: 0.798
Step: 235985, Episode: 237, Reward: -19.00, Epsilon: 0.797
Step: 236978, Episode: 238, Reward: -20.00, Epsilon: 0.796
Step: 238161, Episode: 239, Reward: -20.00, Epsilon: 0.795
Step: 239223, Episode: 240, Reward: -20.00, Epsilon: 0.794
Step: 240276, Episode: 241, Reward: -20.00, Epsilon: 0.793
Step: 241222, Episode: 242, Reward: -21.00, Epsilon: 0.792
Step: 242236, Episode: 243, Reward: -19.00, Epsilon: 0.791
Step: 243169, Episode: 244, Reward: -21.00, Epsilon: 0.790
Step: 244111, Episode: 245, Reward: -21.00, Epsilon: 0.789
Step: 245133, Episode: 246, Reward: -20.00, Epsilon: 0.788
Step: 246193, Episode: 247, Reward: -21.00, Epsilon: 0.787
Step: 247097, Episode: 248, Reward: -20.00, Epsilon: 0.787
Step: 248062, Episode: 249, Reward: -19.00, Epsilon: 0.786
Step: 249296, Episode: 250, Reward: -17.00, Epsilon: 0.785
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 250, Step 249296) ---
Avg Reward over 20 episodes: -19.35 (Duration: 19.81s)
--------------------------------------------------
Step: 250184, Episode: 251, Reward: -21.00, Epsilon: 0.784
Step: 251220, Episode: 252, Reward: -20.00, Epsilon: 0.783
Step: 252162, Episode: 253, Reward: -21.00, Epsilon: 0.782
Step: 253066, Episode: 254, Reward: -20.00, Epsilon: 0.781
Step: 254074, Episode: 255, Reward: -19.00, Epsilon: 0.780
Step: 255050, Episode: 256, Reward: -21.00, Epsilon: 0.779
Step: 256135, Episode: 257, Reward: -19.00, Epsilon: 0.778
Step: 257256, Episode: 258, Reward: -19.00, Epsilon: 0.777
Step: 258511, Episode: 259, Reward: -19.00, Epsilon: 0.776
Step: 259364, Episode: 260, Reward: -21.00, Epsilon: 0.776
