Using device: cuda
[Ep 220] R=-6.0  Steps=338213  ε=0.0100
[Train 290000] loss=0.0041
[Ep 221] R=-4.0  Steps=342155  ε=0.0100
[Ep 222] R=-1.0  Steps=346750  ε=0.0100
[Train 300000] loss=0.0063
[Ep 223] R= 2.0  Steps=350558  ε=0.0100
[Ep 224] R=-8.0  Steps=353917  ε=0.0100
[Ep 225] R=-10.0  Steps=357407  ε=0.0100
[Train 310000] loss=0.0068
[Ep 226] R= 3.0  Steps=361425  ε=0.0100
[Ep 227] R=-2.0  Steps=365515  ε=0.0100
[Ep 228] R=-11.0  Steps=368822  ε=0.0100
[Train 320000] loss=0.0059
[Ep 229] R= 3.0  Steps=372968  ε=0.0100
[Ep 230] R= 1.0  Steps=377493  ε=0.0100
[Train 330000] loss=0.0018
[Ep 231] R=-5.0  Steps=381118  ε=0.0100
[Ep 232] R=-1.0  Steps=385334  ε=0.0100
[Ep 233] R= 4.0  Steps=389654  ε=0.0100
[Train 340000] loss=0.0037
[Ep 234] R=-6.0  Steps=393294  ε=0.0100
[Ep 235] R=-4.0  Steps=397623  ε=0.0100
[Train 350000] loss=0.0008
[Ep 236] R=-2.0  Steps=402545  ε=0.0100
*** model saved: LAB5_B11017015_task3_pong400000.pt ***
[Ep 237] R= 6.0  Steps=406463  ε=0.0100
[Train 360000] loss=0.0019
[Ep 238] R=-9.0  Steps=410560  ε=0.0100
[Ep 239] R=-6.0  Steps=414846  ε=0.0100
*** (avg_R=0.70) ***
*** New best model saved: LAB5_B11017015_task3_pong_414846.pt ***
[Train 370000] loss=0.0023
[Ep 240] R= 1.0  Steps=420144  ε=0.0100
[Ep 241] R=-4.0  Steps=424654  ε=0.0100
[Ep 242] R=-2.0  Steps=429456  ε=0.0100
[Train 380000] loss=0.0021
[Ep 243] R=-7.0  Steps=433633  ε=0.0100
[Ep 244] R=-8.0  Steps=437305  ε=0.0100
[Train 390000] loss=0.0031
[Ep 245] R=12.0  Steps=440307  ε=0.0100
[Ep 246] R=-9.0  Steps=443554  ε=0.0100
[Ep 247] R= 7.0  Steps=447919  ε=0.0100
[Train 400000] loss=0.0018
[Ep 248] R= 1.0  Steps=452336  ε=0.0100
[Ep 249] R=-6.0  Steps=456537  ε=0.0100
[Train 410000] loss=0.0022
[Ep 250] R=-7.0  Steps=460403  ε=0.0100
[Ep 251] R= 3.0  Steps=463834  ε=0.0100
[Ep 252] R= 4.0  Steps=468048  ε=0.0100
[Train 420000] loss=0.0055
[Ep 253] R= 4.0  Steps=472084  ε=0.0100
[Ep 254] R=11.0  Steps=475481  ε=0.0100
[Ep 255] R=-4.0  Steps=479624  ε=0.0100
[Train 430000] loss=0.0015
[Ep 256] R= 8.0  Steps=482888  ε=0.0100
[Ep 257] R=10.0  Steps=486117  ε=0.0100
[Ep 258] R=11.0  Steps=489335  ε=0.0100
[Train 440000] loss=0.0022
[Ep 259] R=13.0  Steps=491903  ε=0.0100
*** (avg_R=8.70) ***
*** New best model saved: LAB5_B11017015_task3_pong_491903.pt ***
[Ep 260] R=11.0  Steps=495162  ε=0.0100
[Ep 261] R= 3.0  Steps=499125  ε=0.0100
[Train 450000] loss=0.0034
[Ep 262] R= 7.0  Steps=502639  ε=0.0100
[Ep 263] R=13.0  Steps=505501  ε=0.0100
[Ep 264] R= 9.0  Steps=509079  ε=0.0100
[Train 460000] loss=0.0053
[Ep 265] R=14.0  Steps=512080  ε=0.0100
[Ep 266] R=11.0  Steps=514780  ε=0.0100
[Ep 267] R=13.0  Steps=517794  ε=0.0100
[Train 470000] loss=0.0015
[Ep 268] R=11.0  Steps=520736  ε=0.0100
[Ep 269] R=12.0  Steps=523802  ε=0.0100
[Ep 270] R=19.0  Steps=526076  ε=0.0100
[Ep 271] R= 3.0  Steps=529968  ε=0.0100
[Train 480000] loss=0.0032
[Ep 272] R=12.0  Steps=533429  ε=0.0100
[Ep 273] R=13.0  Steps=536259  ε=0.0100
[Train 490000] loss=0.0011
[Ep 274] R= 2.0  Steps=540554  ε=0.0100
[Ep 275] R=13.0  Steps=543285  ε=0.0100
[Ep 276] R=11.0  Steps=546038  ε=0.0100
[Ep 277] R= 7.0  Steps=549525  ε=0.0100
[Train 500000] loss=0.0008
[Ep 278] R= 5.0  Steps=552451  ε=0.0100
[Ep 279] R= 1.0  Steps=555984  ε=0.0100
*** (avg_R=11.80) ***
*** New best model saved: LAB5_B11017015_task3_pong_555984.pt ***
[Ep 280] R=-13.0  Steps=558791  ε=0.0100
[Train 510000] loss=0.0041
[Ep 281] R=-7.0  Steps=562890  ε=0.0100
[Ep 282] R= 7.0  Steps=566201  ε=0.0100
[Ep 283] R=11.0  Steps=569411  ε=0.0100
[Train 520000] loss=0.0015
[Ep 284] R=16.0  Steps=571875  ε=0.0100
[Ep 285] R=10.0  Steps=575343  ε=0.0100
[Ep 286] R=11.0  Steps=578328  ε=0.0100
[Train 530000] loss=0.0015
[Ep 287] R=11.0  Steps=581669  ε=0.0100
[Ep 288] R=15.0  Steps=584187  ε=0.0100
[Ep 289] R=16.0  Steps=586648  ε=0.0100
[Ep 290] R=14.0  Steps=589037  ε=0.0100
[Train 540000] loss=0.0033
[Ep 291] R= 7.0  Steps=592458  ε=0.0100
[Ep 292] R=10.0  Steps=595975  ε=0.0100
[Ep 293] R=15.0  Steps=598561  ε=0.0100
[Train 550000] loss=0.0038
[Ep 294] R=15.0  Steps=600993  ε=0.0100
*** model saved: LAB5_B11017015_task3_pong600000.pt ***
[Ep 295] R= 8.0  Steps=605167  ε=0.0100
[Ep 296] R=15.0  Steps=607860  ε=0.0100
[Train 560000] loss=0.0060
[Ep 297] R= 6.0  Steps=611300  ε=0.0100
[Ep 298] R=16.0  Steps=613944  ε=0.0100
[Ep 299] R=16.0  Steps=616598  ε=0.0100
*** (avg_R=13.30) ***
*** New best model saved: LAB5_B11017015_task3_pong_616598.pt ***
[Ep 300] R= 8.0  Steps=619947  ε=0.0100
[Train 570000] loss=0.0016
[Ep 301] R=16.0  Steps=622334  ε=0.0100
[Ep 302] R=11.0  Steps=626174  ε=0.0100
[Ep 303] R=11.0  Steps=629171  ε=0.0100
[Train 580000] loss=0.0070
[Ep 304] R=13.0  Steps=632214  ε=0.0100
[Ep 305] R=19.0  Steps=634472  ε=0.0100
[Ep 306] R=20.0  Steps=636375  ε=0.0100
[Ep 307] R=19.0  Steps=638348  ε=0.0100
[Train 590000] loss=0.0021
[Ep 308] R=17.0  Steps=640814  ε=0.0100
[Ep 309] R=17.0  Steps=642984  ε=0.0100
[Ep 310] R=12.0  Steps=646277  ε=0.0100
[Ep 311] R= 9.0  Steps=649399  ε=0.0100
[Train 600000] loss=0.0037
[Ep 312] R=17.0  Steps=651570  ε=0.0100
[Ep 313] R=14.0  Steps=654210  ε=0.0100
[Ep 314] R= 7.0  Steps=658039  ε=0.0100
[Train 610000] loss=0.0048
[Ep 315] R=16.0  Steps=660412  ε=0.0100
[Ep 316] R=19.0  Steps=662475  ε=0.0100
[Ep 317] R=17.0  Steps=664961  ε=0.0100
[Ep 318] R=14.0  Steps=667560  ε=0.0100
[Ep 319] R=19.0  Steps=669679  ε=0.0100
*** (avg_R=14.90) ***
*** New best model saved: LAB5_B11017015_task3_pong_669679.pt ***
[Train 620000] loss=0.0017
[Ep 320] R=13.0  Steps=672408  ε=0.0100
[Ep 321] R=16.0  Steps=674854  ε=0.0100
[Ep 322] R=14.0  Steps=677382  ε=0.0100
[Ep 323] R=18.0  Steps=679804  ε=0.0100
[Train 630000] loss=0.0054
[Ep 324] R= 9.0  Steps=682929  ε=0.0100
