Using device: cuda
[Ep 189] R=-4.0  Steps=303819  ε=0.0500
[Ep 190] R=-13.0  Steps=306226  ε=0.0500
[Ep 191] R=-4.0  Steps=309856  ε=0.0500
[Train 260000] loss=0.0037
[Ep 192] R=-7.0  Steps=312535  ε=0.0500
[Ep 193] R=-2.0  Steps=316110  ε=0.0500
[Ep 194] R=-5.0  Steps=319376  ε=0.0500
[Train 270000] loss=0.0042
[Ep 195] R=-8.0  Steps=322470  ε=0.0500
[Ep 196] R=-3.0  Steps=326098  ε=0.0500
[Ep 197] R=-9.0  Steps=329035  ε=0.0500
[Train 280000] loss=0.0054
[Ep 198] R=-8.0  Steps=332301  ε=0.0500
[Ep 199] R=-12.0  Steps=335378  ε=0.0500
*** (avg_R=-4.35) ***
*** New best model saved: LAB5_B11017015_task3_pong_335378.pt ***
[Ep 200] R=-6.0  Steps=338670  ε=0.0500
[Train 290000] loss=0.0078
[Ep 201] R=-8.0  Steps=342108  ε=0.0500
[Ep 202] R=-3.0  Steps=345501  ε=0.0500
[Ep 203] R= 1.0  Steps=349443  ε=0.0500
[Train 300000] loss=0.0004
[Ep 204] R=-6.0  Steps=352675  ε=0.0500
[Ep 205] R=-7.0  Steps=355714  ε=0.0500
[Ep 206] R=-2.0  Steps=359489  ε=0.0500
[Train 310000] loss=0.0037
[Ep 207] R= 6.0  Steps=362669  ε=0.0500
[Ep 208] R=-6.0  Steps=366012  ε=0.0500
[Ep 209] R= 5.0  Steps=369533  ε=0.0500
[Train 320000] loss=0.0038
[Ep 210] R=-8.0  Steps=372925  ε=0.0500
[Ep 211] R= 3.0  Steps=376632  ε=0.0500
[Train 330000] loss=0.0080
[Ep 212] R=-5.0  Steps=380089  ε=0.0500
[Ep 213] R=-3.0  Steps=383549  ε=0.0500
[Ep 214] R=-9.0  Steps=386535  ε=0.0500
[Ep 215] R=-8.0  Steps=389799  ε=0.0500
[Train 340000] loss=0.0042
[Ep 216] R=-10.0  Steps=392561  ε=0.0500
[Ep 217] R= 2.0  Steps=396294  ε=0.0500
[Ep 218] R=11.0  Steps=399033  ε=0.0500
[Train 350000] loss=0.0077
[Ep 219] R=-6.0  Steps=402147  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong400000.pt ***
*** (avg_R=6.40) ***
*** New best model saved: LAB5_B11017015_task3_pong_402147.pt ***
[Ep 220] R= 9.0  Steps=404929  ε=0.0500
[Ep 221] R= 7.0  Steps=407846  ε=0.0500
[Train 360000] loss=0.0044
[Ep 222] R= 4.0  Steps=411243  ε=0.0500
[Ep 223] R= 5.0  Steps=414564  ε=0.0500
[Ep 224] R= 4.0  Steps=417594  ε=0.0500
[Train 370000] loss=0.0098
[Ep 225] R= 3.0  Steps=420989  ε=0.0500
[Ep 226] R= 5.0  Steps=424087  ε=0.0500
[Ep 227] R=-6.0  Steps=427590  ε=0.0500
[Train 380000] loss=0.0077
[Ep 228] R=-1.0  Steps=431273  ε=0.0500
[Ep 229] R= 4.0  Steps=434350  ε=0.0500
[Ep 230] R= 5.0  Steps=437206  ε=0.0500
[Train 390000] loss=0.0013
[Ep 231] R= 8.0  Steps=440129  ε=0.0500
[Ep 232] R= 1.0  Steps=443521  ε=0.0500
[Ep 233] R= 5.0  Steps=446763  ε=0.0500
[Ep 234] R= 9.0  Steps=449528  ε=0.0500
[Train 400000] loss=0.0061
[Ep 235] R= 9.0  Steps=452269  ε=0.0500
[Ep 236] R= 2.0  Steps=455703  ε=0.0500
[Ep 237] R=11.0  Steps=458279  ε=0.0500
[Train 410000] loss=0.0028
[Ep 238] R=12.0  Steps=461013  ε=0.0500
[Ep 239] R= 6.0  Steps=464015  ε=0.0500
*** (avg_R=9.90) ***
*** New best model saved: LAB5_B11017015_task3_pong_464015.pt ***
[Ep 240] R= 4.0  Steps=467316  ε=0.0500
[Train 420000] loss=0.0029
[Ep 241] R= 5.0  Steps=470750  ε=0.0500
[Ep 242] R= 8.0  Steps=473504  ε=0.0500
[Ep 243] R= 4.0  Steps=476452  ε=0.0500
[Ep 244] R= 2.0  Steps=479722  ε=0.0500
[Train 430000] loss=0.0064
[Ep 245] R=13.0  Steps=482141  ε=0.0500
[Ep 246] R= 3.0  Steps=485222  ε=0.0500
[Ep 247] R= 3.0  Steps=488476  ε=0.0500
[Train 440000] loss=0.0030
[Ep 248] R=11.0  Steps=491042  ε=0.0500
[Ep 249] R=14.0  Steps=493298  ε=0.0500
[Ep 250] R=-6.0  Steps=496127  ε=0.0500
[Ep 251] R=-2.0  Steps=499577  ε=0.0500
[Train 450000] loss=0.0018
[Ep 252] R= 9.0  Steps=502294  ε=0.0500
[Ep 253] R=15.0  Steps=504456  ε=0.0500
[Ep 254] R= 9.0  Steps=507098  ε=0.0500
[Ep 255] R=14.0  Steps=509505  ε=0.0500
[Train 460000] loss=0.0022
[Ep 256] R= 2.0  Steps=512780  ε=0.0500
[Ep 257] R=13.0  Steps=515139  ε=0.0500
[Ep 258] R= 9.0  Steps=518022  ε=0.0500
[Train 470000] loss=0.0095
[Ep 259] R=11.0  Steps=520454  ε=0.0500
*** (avg_R=13.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_520454.pt ***
[Ep 260] R=14.0  Steps=522734  ε=0.0500
[Ep 261] R= 4.0  Steps=525973  ε=0.0500
[Ep 262] R=11.0  Steps=528532  ε=0.0500
[Train 480000] loss=0.0143
[Ep 263] R= 7.0  Steps=531497  ε=0.0500
[Ep 264] R= 8.0  Steps=534226  ε=0.0500
[Ep 265] R= 8.0  Steps=536710  ε=0.0500
[Ep 266] R= 7.0  Steps=539659  ε=0.0500
[Train 490000] loss=0.0067
[Ep 267] R= 4.0  Steps=542826  ε=0.0500
[Ep 268] R=10.0  Steps=545745  ε=0.0500
[Ep 269] R= 4.0  Steps=548897  ε=0.0500
[Train 500000] loss=0.0031
[Ep 270] R=-4.0  Steps=552061  ε=0.0500
[Ep 271] R= 5.0  Steps=555010  ε=0.0500
[Ep 272] R= 7.0  Steps=557858  ε=0.0500
[Train 510000] loss=0.0058
[Ep 273] R= 7.0  Steps=560964  ε=0.0500
[Ep 274] R= 7.0  Steps=563621  ε=0.0500
[Ep 275] R= 8.0  Steps=566516  ε=0.0500
[Ep 276] R=15.0  Steps=568818  ε=0.0500
[Train 520000] loss=0.0065
[Ep 277] R=14.0  Steps=571112  ε=0.0500
[Ep 278] R= 5.0  Steps=574268  ε=0.0500
[Ep 279] R=10.0  Steps=576877  ε=0.0500
*** (avg_R=10.85) ***
[Train 530000] loss=0.0139
[Ep 280] R=10.0  Steps=580071  ε=0.0500
[Ep 281] R=15.0  Steps=582256  ε=0.0500
[Ep 282] R= 7.0  Steps=585141  ε=0.0500
[Ep 283] R=12.0  Steps=587656  ε=0.0500
[Train 540000] loss=0.0123
[Ep 284] R= 8.0  Steps=590612  ε=0.0500
[Ep 285] R=17.0  Steps=592620  ε=0.0500
[Ep 286] R=10.0  Steps=595142  ε=0.0500
[Ep 287] R= 6.0  Steps=598127  ε=0.0500
[Train 550000] loss=0.0125
[Ep 288] R=12.0  Steps=600375  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong600000.pt ***
[Ep 289] R= 9.0  Steps=603106  ε=0.0500
[Ep 290] R= 9.0  Steps=605573  ε=0.0500
[Ep 291] R=13.0  Steps=607955  ε=0.0500
[Train 560000] loss=0.0076
[Ep 292] R=13.0  Steps=610441  ε=0.0500
[Ep 293] R= 9.0  Steps=613171  ε=0.0500
[Ep 294] R= 8.0  Steps=616141  ε=0.0500
[Ep 295] R=10.0  Steps=618675  ε=0.0500
[Train 570000] loss=0.0059
[Ep 296] R= 6.0  Steps=621869  ε=0.0500
[Ep 297] R=12.0  Steps=624521  ε=0.0500
[Ep 298] R=15.0  Steps=627049  ε=0.0500
[Train 580000] loss=0.0096
