Using device: cuda
[Ep 174] R=-14.0  Steps=193616  ε=0.0500
[Ep 175] R=-13.0  Steps=195999  ε=0.0500
[Ep 176] R=-16.0  Steps=198313  ε=0.0500
[Train 150000] loss=0.0027
[Ep 177] R=-16.0  Steps=200564  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 178] R=-15.0  Steps=202839  ε=0.0500
[Ep 179] R=-18.0  Steps=204879  ε=0.0500
*** (avg_R=-14.65) ***
*** New best model saved: LAB5_B11017015_task3_pong_204879.pt ***
[Ep 180] R=-12.0  Steps=207514  ε=0.0500
[Ep 181] R=-16.0  Steps=209728  ε=0.0500
[Train 160000] loss=0.0028
[Ep 182] R=-14.0  Steps=212248  ε=0.0500
[Ep 183] R=-15.0  Steps=214550  ε=0.0500
[Ep 184] R=-19.0  Steps=216762  ε=0.0500
[Ep 185] R=-11.0  Steps=219400  ε=0.0500
[Train 170000] loss=0.0009
[Ep 186] R=-13.0  Steps=222047  ε=0.0500
[Ep 187] R=-18.0  Steps=224231  ε=0.0500
[Ep 188] R=-13.0  Steps=226702  ε=0.0500
[Ep 189] R=-14.0  Steps=229269  ε=0.0500
[Train 180000] loss=0.0040
[Ep 190] R=-15.0  Steps=231565  ε=0.0500
[Ep 191] R=-13.0  Steps=234286  ε=0.0500
[Ep 192] R=-18.0  Steps=236685  ε=0.0500
[Ep 193] R=-17.0  Steps=239094  ε=0.0500
[Train 190000] loss=0.0120
[Ep 194] R=-17.0  Steps=241625  ε=0.0500
[Ep 195] R=-15.0  Steps=244185  ε=0.0500
[Ep 196] R=-14.0  Steps=246968  ε=0.0500
[Ep 197] R=-15.0  Steps=249626  ε=0.0500
[Train 200000] loss=0.0034
[Ep 198] R=-19.0  Steps=252208  ε=0.0500
[Ep 199] R=-18.0  Steps=255031  ε=0.0500
*** (avg_R=-15.80) ***
[Ep 200] R=-16.0  Steps=257676  ε=0.0500
[Train 210000] loss=0.0014
[Ep 201] R=-16.0  Steps=260167  ε=0.0500
[Ep 202] R=-18.0  Steps=262392  ε=0.0500
[Ep 203] R=-9.0  Steps=265724  ε=0.0500
[Ep 204] R=-14.0  Steps=268526  ε=0.0500
[Train 220000] loss=0.0030
[Ep 205] R=-14.0  Steps=271379  ε=0.0500
[Ep 206] R=-16.0  Steps=273970  ε=0.0500
[Ep 207] R=-13.0  Steps=277138  ε=0.0500
[Ep 208] R=-17.0  Steps=279737  ε=0.0500
[Train 230000] loss=0.0050
[Ep 209] R=-19.0  Steps=282476  ε=0.0500
[Ep 210] R=-15.0  Steps=285538  ε=0.0500
[Ep 211] R=-18.0  Steps=288272  ε=0.0500
[Train 240000] loss=0.0028
[Ep 212] R=-18.0  Steps=291242  ε=0.0500
[Ep 213] R=-12.0  Steps=294195  ε=0.0500
[Ep 214] R=-20.0  Steps=296636  ε=0.0500
[Ep 215] R=-17.0  Steps=299418  ε=0.0500
[Train 250000] loss=0.0037
[Ep 216] R=-14.0  Steps=302680  ε=0.0500
[Ep 217] R=-16.0  Steps=305323  ε=0.0500
[Ep 218] R=-11.0  Steps=308918  ε=0.0500
[Train 260000] loss=0.0070
[Ep 219] R=-12.0  Steps=312241  ε=0.0500
*** (avg_R=-17.15) ***
[Ep 220] R=-18.0  Steps=314530  ε=0.0500
[Ep 221] R=-12.0  Steps=317917  ε=0.0500
[Train 270000] loss=0.0021
[Ep 222] R=-17.0  Steps=320980  ε=0.0500
[Ep 223] R=-15.0  Steps=323937  ε=0.0500
[Ep 224] R=-12.0  Steps=326935  ε=0.0500
[Ep 225] R=-15.0  Steps=329628  ε=0.0500
[Train 280000] loss=0.0020
[Ep 226] R=-10.0  Steps=332463  ε=0.0500
[Ep 227] R=-5.0  Steps=335908  ε=0.0500
[Ep 228] R=-8.0  Steps=338775  ε=0.0500
[Train 290000] loss=0.0032
[Ep 229] R=-9.0  Steps=341323  ε=0.0500
[Ep 230] R=-11.0  Steps=343932  ε=0.0500
[Ep 231] R=-9.0  Steps=346845  ε=0.0500
[Ep 232] R=-11.0  Steps=349577  ε=0.0500
[Train 300000] loss=0.0065
[Ep 233] R=-10.0  Steps=352328  ε=0.0500
[Ep 234] R=-6.0  Steps=355332  ε=0.0500
[Ep 235] R=-8.0  Steps=358181  ε=0.0500
[Train 310000] loss=0.0027
[Ep 236] R=-6.0  Steps=361110  ε=0.0500
[Ep 237] R=-3.0  Steps=364296  ε=0.0500
[Ep 238] R=-12.0  Steps=366809  ε=0.0500
[Ep 239] R=-5.0  Steps=369804  ε=0.0500
*** (avg_R=-2.85) ***
*** New best model saved: LAB5_B11017015_task3_pong_369804.pt ***
[Train 320000] loss=0.0033
[Ep 240] R=-3.0  Steps=373085  ε=0.0500
[Ep 241] R=-5.0  Steps=376107  ε=0.0500
[Ep 242] R=-7.0  Steps=379021  ε=0.0500
[Train 330000] loss=0.0016
[Ep 243] R=-4.0  Steps=382012  ε=0.0500
[Ep 244] R=-3.0  Steps=385366  ε=0.0500
[Ep 245] R=-3.0  Steps=388588  ε=0.0500
[Train 340000] loss=0.0064
[Ep 246] R=-9.0  Steps=391543  ε=0.0500
[Ep 247] R=-7.0  Steps=394175  ε=0.0500
[Ep 248] R=-6.0  Steps=397077  ε=0.0500
[Train 350000] loss=0.0019
[Ep 249] R= 5.0  Steps=400245  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong400000.pt ***
[Ep 250] R= 2.0  Steps=403728  ε=0.0500
[Ep 251] R=-8.0  Steps=406989  ε=0.0500
[Train 360000] loss=0.0056
[Ep 252] R=-3.0  Steps=410241  ε=0.0500
[Ep 253] R=-2.0  Steps=413906  ε=0.0500
[Ep 254] R=-3.0  Steps=417627  ε=0.0500
[Train 370000] loss=0.0034
[Ep 255] R=-4.0  Steps=421157  ε=0.0500
[Ep 256] R= 3.0  Steps=424402  ε=0.0500
[Ep 257] R=-3.0  Steps=427541  ε=0.0500
[Train 380000] loss=0.0051
[Ep 258] R=-4.0  Steps=431061  ε=0.0500
[Ep 259] R=-8.0  Steps=434440  ε=0.0500
*** (avg_R=2.15) ***
*** New best model saved: LAB5_B11017015_task3_pong_434440.pt ***
[Ep 260] R=-5.0  Steps=437906  ε=0.0500
[Train 390000] loss=0.0054
[Ep 261] R=-1.0  Steps=441903  ε=0.0500
[Ep 262] R= 6.0  Steps=445145  ε=0.0500
