Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 124470, Episode: 129, Reward: -21.00, Epsilon: 0.897
Step: 125421, Episode: 130, Reward: -20.00, Epsilon: 0.896
Step: 126320, Episode: 131, Reward: -20.00, Epsilon: 0.895
Step: 127524, Episode: 132, Reward: -20.00, Epsilon: 0.894
Step: 128355, Episode: 133, Reward: -21.00, Epsilon: 0.893
Step: 129365, Episode: 134, Reward: -20.00, Epsilon: 0.893
Step: 130477, Episode: 135, Reward: -20.00, Epsilon: 0.892
Step: 131524, Episode: 136, Reward: -20.00, Epsilon: 0.891
Step: 132306, Episode: 137, Reward: -21.00, Epsilon: 0.890
Step: 133498, Episode: 138, Reward: -19.00, Epsilon: 0.889
Step: 134725, Episode: 139, Reward: -18.00, Epsilon: 0.888
Step: 135686, Episode: 140, Reward: -21.00, Epsilon: 0.887
Step: 136689, Episode: 141, Reward: -21.00, Epsilon: 0.886
Step: 137676, Episode: 142, Reward: -20.00, Epsilon: 0.885
Step: 138770, Episode: 143, Reward: -19.00, Epsilon: 0.884
Step: 139946, Episode: 144, Reward: -20.00, Epsilon: 0.883
Step: 141095, Episode: 145, Reward: -21.00, Epsilon: 0.882
Step: 142026, Episode: 146, Reward: -20.00, Epsilon: 0.881
Step: 143241, Episode: 147, Reward: -20.00, Epsilon: 0.880
Step: 144612, Episode: 148, Reward: -20.00, Epsilon: 0.879
Step: 146100, Episode: 149, Reward: -16.00, Epsilon: 0.878
Step: 147214, Episode: 150, Reward: -20.00, Epsilon: 0.877
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 150, Step 147214) ---
Avg Reward over 20 episodes: -14.90 (Duration: 33.43s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 148294, Episode: 151, Reward: -20.00, Epsilon: 0.876
Step: 149238, Episode: 152, Reward: -20.00, Epsilon: 0.875
Step: 150531, Episode: 153, Reward: -20.00, Epsilon: 0.874
Step: 151673, Episode: 154, Reward: -20.00, Epsilon: 0.872
Step: 152711, Episode: 155, Reward: -20.00, Epsilon: 0.872
Step: 153872, Episode: 156, Reward: -20.00, Epsilon: 0.871
Step: 154811, Episode: 157, Reward: -21.00, Epsilon: 0.870
Step: 155793, Episode: 158, Reward: -20.00, Epsilon: 0.869
Step: 156947, Episode: 159, Reward: -20.00, Epsilon: 0.868
Step: 157924, Episode: 160, Reward: -20.00, Epsilon: 0.867
Step: 158983, Episode: 161, Reward: -19.00, Epsilon: 0.866
Step: 159974, Episode: 162, Reward: -21.00, Epsilon: 0.865
Step: 160989, Episode: 163, Reward: -19.00, Epsilon: 0.864
Step: 162119, Episode: 164, Reward: -19.00, Epsilon: 0.863
Step: 163031, Episode: 165, Reward: -21.00, Epsilon: 0.862
Step: 164012, Episode: 166, Reward: -20.00, Epsilon: 0.861
Step: 164929, Episode: 167, Reward: -20.00, Epsilon: 0.861
Step: 165926, Episode: 168, Reward: -19.00, Epsilon: 0.860
Step: 166895, Episode: 169, Reward: -21.00, Epsilon: 0.859
Step: 167970, Episode: 170, Reward: -20.00, Epsilon: 0.858
Step: 169347, Episode: 171, Reward: -17.00, Epsilon: 0.857
Step: 170306, Episode: 172, Reward: -20.00, Epsilon: 0.856
Step: 171700, Episode: 173, Reward: -18.00, Epsilon: 0.854
Step: 172524, Episode: 174, Reward: -21.00, Epsilon: 0.854
Step: 173624, Episode: 175, Reward: -21.00, Epsilon: 0.853
Step: 174918, Episode: 176, Reward: -19.00, Epsilon: 0.852
Step: 176045, Episode: 177, Reward: -20.00, Epsilon: 0.851
Step: 177109, Episode: 178, Reward: -20.00, Epsilon: 0.850
Step: 178157, Episode: 179, Reward: -21.00, Epsilon: 0.849
Step: 179418, Episode: 180, Reward: -19.00, Epsilon: 0.848
Step: 180454, Episode: 181, Reward: -19.00, Epsilon: 0.847
Step: 181566, Episode: 182, Reward: -19.00, Epsilon: 0.846
Step: 182670, Episode: 183, Reward: -19.00, Epsilon: 0.845
Step: 183793, Episode: 184, Reward: -20.00, Epsilon: 0.844
Step: 184999, Episode: 185, Reward: -18.00, Epsilon: 0.843
Step: 186069, Episode: 186, Reward: -19.00, Epsilon: 0.842
Step: 186921, Episode: 187, Reward: -21.00, Epsilon: 0.841
Step: 188091, Episode: 188, Reward: -20.00, Epsilon: 0.840
Step: 189222, Episode: 189, Reward: -20.00, Epsilon: 0.839
Step: 190293, Episode: 190, Reward: -20.00, Epsilon: 0.838
Step: 191410, Episode: 191, Reward: -19.00, Epsilon: 0.837
Step: 192698, Episode: 192, Reward: -17.00, Epsilon: 0.836
Step: 193522, Episode: 193, Reward: -21.00, Epsilon: 0.835
Step: 194542, Episode: 194, Reward: -21.00, Epsilon: 0.834
Step: 195568, Episode: 195, Reward: -20.00, Epsilon: 0.833
Step: 196690, Episode: 196, Reward: -18.00, Epsilon: 0.832
Step: 197532, Episode: 197, Reward: -20.00, Epsilon: 0.831
Step: 198656, Episode: 198, Reward: -21.00, Epsilon: 0.830
Step: 199763, Episode: 199, Reward: -18.00, Epsilon: 0.829
Step: 200886, Episode: 200, Reward: -21.00, Epsilon: 0.828
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 200, Step 200886) ---
Avg Reward over 20 episodes: -12.90 (Duration: 43.53s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 201846, Episode: 201, Reward: -20.00, Epsilon: 0.827
Step: 203299, Episode: 202, Reward: -16.00, Epsilon: 0.826
Step: 204408, Episode: 203, Reward: -20.00, Epsilon: 0.825
Step: 205327, Episode: 204, Reward: -21.00, Epsilon: 0.824
Step: 206473, Episode: 205, Reward: -19.00, Epsilon: 0.823
Step: 207411, Episode: 206, Reward: -20.00, Epsilon: 0.822
Step: 208253, Episode: 207, Reward: -20.00, Epsilon: 0.822
Step: 209101, Episode: 208, Reward: -21.00, Epsilon: 0.821
Step: 210240, Episode: 209, Reward: -21.00, Epsilon: 0.820
Step: 211092, Episode: 210, Reward: -21.00, Epsilon: 0.819
Step: 212196, Episode: 211, Reward: -20.00, Epsilon: 0.818
Step: 213285, Episode: 212, Reward: -21.00, Epsilon: 0.817
Step: 214285, Episode: 213, Reward: -21.00, Epsilon: 0.816
Step: 215373, Episode: 214, Reward: -19.00, Epsilon: 0.815
Step: 216455, Episode: 215, Reward: -18.00, Epsilon: 0.814
Step: 217372, Episode: 216, Reward: -20.00, Epsilon: 0.813
Step: 218607, Episode: 217, Reward: -20.00, Epsilon: 0.812
Step: 219565, Episode: 218, Reward: -21.00, Epsilon: 0.811
Step: 220681, Episode: 219, Reward: -18.00, Epsilon: 0.810
Step: 221734, Episode: 220, Reward: -20.00, Epsilon: 0.809
Step: 222754, Episode: 221, Reward: -20.00, Epsilon: 0.809
Step: 224048, Episode: 222, Reward: -19.00, Epsilon: 0.807
Step: 225796, Episode: 223, Reward: -12.00, Epsilon: 0.806
Step: 226869, Episode: 224, Reward: -20.00, Epsilon: 0.805
Step: 227934, Episode: 225, Reward: -20.00, Epsilon: 0.804
Step: 228944, Episode: 226, Reward: -20.00, Epsilon: 0.803
Step: 229865, Episode: 227, Reward: -19.00, Epsilon: 0.802
Step: 230842, Episode: 228, Reward: -20.00, Epsilon: 0.801
Step: 232035, Episode: 229, Reward: -18.00, Epsilon: 0.800
Step: 233131, Episode: 230, Reward: -19.00, Epsilon: 0.799
Step: 234377, Episode: 231, Reward: -20.00, Epsilon: 0.798
Step: 235203, Episode: 232, Reward: -21.00, Epsilon: 0.797
Step: 236301, Episode: 233, Reward: -20.00, Epsilon: 0.796
Step: 237242, Episode: 234, Reward: -21.00, Epsilon: 0.795
Step: 238144, Episode: 235, Reward: -21.00, Epsilon: 0.795
Step: 239397, Episode: 236, Reward: -18.00, Epsilon: 0.794
Step: 240532, Episode: 237, Reward: -19.00, Epsilon: 0.793
Step: 241594, Episode: 238, Reward: -21.00, Epsilon: 0.792
Step: 242886, Episode: 239, Reward: -17.00, Epsilon: 0.790
Step: 243987, Episode: 240, Reward: -19.00, Epsilon: 0.789
Step: 245013, Episode: 241, Reward: -20.00, Epsilon: 0.788
Step: 246199, Episode: 242, Reward: -17.00, Epsilon: 0.787
Step: 247102, Episode: 243, Reward: -20.00, Epsilon: 0.787
Step: 248198, Episode: 244, Reward: -19.00, Epsilon: 0.786
Step: 249419, Episode: 245, Reward: -17.00, Epsilon: 0.785
Step: 250452, Episode: 246, Reward: -21.00, Epsilon: 0.784
Step: 251600, Episode: 247, Reward: -19.00, Epsilon: 0.783
Step: 252616, Episode: 248, Reward: -21.00, Epsilon: 0.782
Step: 253512, Episode: 249, Reward: -21.00, Epsilon: 0.781
Step: 254592, Episode: 250, Reward: -20.00, Epsilon: 0.780
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 250, Step 254592) ---
Avg Reward over 20 episodes: -14.30 (Duration: 36.65s)
--------------------------------------------------
Step: 255918, Episode: 251, Reward: -18.00, Epsilon: 0.779
Step: 257272, Episode: 252, Reward: -17.00, Epsilon: 0.777
Step: 258332, Episode: 253, Reward: -20.00, Epsilon: 0.777
Step: 259656, Episode: 254, Reward: -17.00, Epsilon: 0.775
Step: 260603, Episode: 255, Reward: -20.00, Epsilon: 0.774
Step: 261504, Episode: 256, Reward: -21.00, Epsilon: 0.774
Step: 262612, Episode: 257, Reward: -20.00, Epsilon: 0.773
Step: 263844, Episode: 258, Reward: -20.00, Epsilon: 0.772
Step: 264901, Episode: 259, Reward: -21.00, Epsilon: 0.771
Step: 265790, Episode: 260, Reward: -20.00, Epsilon: 0.770
Step: 266786, Episode: 261, Reward: -20.00, Epsilon: 0.769
Step: 267732, Episode: 262, Reward: -20.00, Epsilon: 0.768
Step: 269004, Episode: 263, Reward: -19.00, Epsilon: 0.767
Step: 270271, Episode: 264, Reward: -19.00, Epsilon: 0.766
Step: 271187, Episode: 265, Reward: -20.00, Epsilon: 0.765
Step: 272468, Episode: 266, Reward: -19.00, Epsilon: 0.764
Step: 273390, Episode: 267, Reward: -20.00, Epsilon: 0.763
Step: 274354, Episode: 268, Reward: -20.00, Epsilon: 0.762
Step: 275767, Episode: 269, Reward: -18.00, Epsilon: 0.761
Step: 277081, Episode: 270, Reward: -17.00, Epsilon: 0.760
