Using device: cuda
*** (avg_R=-17.40) ***
*** New best model saved: LAB5_B11017015_task3_pong_170043.pt ***
[Ep 160] R=-21.0  Steps=171522  ε=0.4242
[Ep 161] R=-21.0  Steps=173127  ε=0.4208
[Ep 162] R=-19.0  Steps=174811  ε=0.4173
[Ep 163] R=-14.0  Steps=176692  ε=0.4133
[Ep 164] R=-20.0  Steps=177944  ε=0.4108
[Train 130000] loss=0.0053
[Ep 165] R=-11.0  Steps=180290  ε=0.4060
[Ep 166] R=-19.0  Steps=181844  ε=0.4028
[Ep 167] R=-17.0  Steps=183651  ε=0.3992
[Ep 168] R=-13.0  Steps=185736  ε=0.3951
[Ep 169] R=-18.0  Steps=187709  ε=0.3912
[Ep 170] R=-19.0  Steps=189303  ε=0.3881
[Train 140000] loss=0.0039
[Ep 171] R=-17.0  Steps=191108  ε=0.3846
[Ep 172] R=-16.0  Steps=193104  ε=0.3808
[Ep 173] R=-19.0  Steps=194833  ε=0.3775
[Ep 174] R=-17.0  Steps=196709  ε=0.3740
[Ep 175] R=-19.0  Steps=198523  ε=0.3706
[Train 150000] loss=0.0048
[Ep 176] R=-16.0  Steps=200712  ε=0.3666
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 177] R=-13.0  Steps=202956  ε=0.3625
[Ep 178] R=-13.0  Steps=205222  ε=0.3584
[Ep 179] R=-18.0  Steps=207098  ε=0.3551
*** (avg_R=-15.85) ***
*** New best model saved: LAB5_B11017015_task3_pong_207098.pt ***
[Ep 180] R=-15.0  Steps=209186  ε=0.3514
[Train 160000] loss=0.0040
[Ep 181] R=-16.0  Steps=211205  ε=0.3478
[Ep 182] R=-16.0  Steps=213379  ε=0.3441
[Ep 183] R=-16.0  Steps=215577  ε=0.3403
[Ep 184] R=-19.0  Steps=217860  ε=0.3365
[Train 170000] loss=0.0044
[Ep 185] R=-10.0  Steps=220539  ε=0.3320
[Ep 186] R=-14.0  Steps=223016  ε=0.3279
[Ep 187] R=-15.0  Steps=225379  ε=0.3240
[Ep 188] R=-18.0  Steps=227478  ε=0.3207
[Ep 189] R=-16.0  Steps=229741  ε=0.3170
[Train 180000] loss=0.0089
[Ep 190] R=-16.0  Steps=232128  ε=0.3133
[Ep 191] R=-10.0  Steps=234731  ε=0.3092
[Ep 192] R=-11.0  Steps=237538  ε=0.3049
[Ep 193] R=-17.0  Steps=239857  ε=0.3014
[Train 190000] loss=0.0056
[Ep 194] R=-15.0  Steps=242155  ε=0.2980
[Ep 195] R=-13.0  Steps=244310  ε=0.2948
[Ep 196] R=-18.0  Steps=246053  ε=0.2922
[Ep 197] R=-21.0  Steps=247585  ε=0.2900
[Train 200000] loss=0.0037
[Ep 198] R=-13.0  Steps=250286  ε=0.2861
[Ep 199] R=-14.0  Steps=253660  ε=0.2813
*** (avg_R=-12.20) ***
*** New best model saved: LAB5_B11017015_task3_pong_253660.pt ***
[Ep 200] R=-8.0  Steps=257097  ε=0.2765
[Train 210000] loss=0.0083
[Ep 201] R=-12.0  Steps=260125  ε=0.2724
[Ep 202] R=-15.0  Steps=263578  ε=0.2677
[Ep 203] R=-13.0  Steps=266653  ε=0.2636
[Ep 204] R=-16.0  Steps=269366  ε=0.2601
[Train 220000] loss=0.0083
[Ep 205] R=-20.0  Steps=271493  ε=0.2573
[Ep 206] R=-15.0  Steps=274354  ε=0.2537
