Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 196370, Episode: 200, Reward: -20.00, Epsilon: 0.832
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 200, Step 196370) ---
Avg Reward over 20 episodes: -17.60 (Duration: 26.41s)
--------------------------------------------------
Step: 197256, Episode: 201, Reward: -21.00, Epsilon: 0.831
Step: 198157, Episode: 202, Reward: -21.00, Epsilon: 0.831
Step: 199010, Episode: 203, Reward: -21.00, Epsilon: 0.830
Step: 199881, Episode: 204, Reward: -21.00, Epsilon: 0.829
Step: 200879, Episode: 205, Reward: -21.00, Epsilon: 0.828
Step: 202076, Episode: 206, Reward: -20.00, Epsilon: 0.827
Step: 202868, Episode: 207, Reward: -21.00, Epsilon: 0.826
Step: 203900, Episode: 208, Reward: -21.00, Epsilon: 0.825
Step: 204921, Episode: 209, Reward: -19.00, Epsilon: 0.825
Step: 205835, Episode: 210, Reward: -21.00, Epsilon: 0.824
Step: 207033, Episode: 211, Reward: -20.00, Epsilon: 0.823
Step: 207919, Episode: 212, Reward: -21.00, Epsilon: 0.822
Step: 208996, Episode: 213, Reward: -21.00, Epsilon: 0.821
Step: 209840, Episode: 214, Reward: -21.00, Epsilon: 0.820
Step: 211377, Episode: 215, Reward: -16.00, Epsilon: 0.819
Step: 212401, Episode: 216, Reward: -21.00, Epsilon: 0.818
Step: 213318, Episode: 217, Reward: -20.00, Epsilon: 0.817
Step: 214440, Episode: 218, Reward: -20.00, Epsilon: 0.816
Step: 215486, Episode: 219, Reward: -21.00, Epsilon: 0.815
Step: 216430, Episode: 220, Reward: -21.00, Epsilon: 0.814
Step: 217694, Episode: 221, Reward: -20.00, Epsilon: 0.813
Step: 218907, Episode: 222, Reward: -18.00, Epsilon: 0.812
Step: 219850, Episode: 223, Reward: -20.00, Epsilon: 0.811
Step: 220819, Episode: 224, Reward: -21.00, Epsilon: 0.810
Step: 221996, Episode: 225, Reward: -19.00, Epsilon: 0.809
Step: 223056, Episode: 226, Reward: -19.00, Epsilon: 0.808
Step: 224039, Episode: 227, Reward: -20.00, Epsilon: 0.807
Step: 225080, Episode: 228, Reward: -19.00, Epsilon: 0.806
Step: 225992, Episode: 229, Reward: -21.00, Epsilon: 0.806
Step: 227269, Episode: 230, Reward: -19.00, Epsilon: 0.804
Step: 228401, Episode: 231, Reward: -19.00, Epsilon: 0.803
Step: 229376, Episode: 232, Reward: -20.00, Epsilon: 0.803
Step: 230292, Episode: 233, Reward: -20.00, Epsilon: 0.802
Step: 231222, Episode: 234, Reward: -21.00, Epsilon: 0.801
Step: 232155, Episode: 235, Reward: -21.00, Epsilon: 0.800
Step: 233042, Episode: 236, Reward: -20.00, Epsilon: 0.799
Step: 234005, Episode: 237, Reward: -20.00, Epsilon: 0.798
Step: 235145, Episode: 238, Reward: -20.00, Epsilon: 0.797
Step: 236140, Episode: 239, Reward: -21.00, Epsilon: 0.796
Step: 237297, Episode: 240, Reward: -19.00, Epsilon: 0.795
Step: 238228, Episode: 241, Reward: -21.00, Epsilon: 0.795
Step: 239283, Episode: 242, Reward: -19.00, Epsilon: 0.794
Step: 240423, Episode: 243, Reward: -19.00, Epsilon: 0.793
Step: 241247, Episode: 244, Reward: -21.00, Epsilon: 0.792
Step: 242340, Episode: 245, Reward: -19.00, Epsilon: 0.791
Step: 243379, Episode: 246, Reward: -19.00, Epsilon: 0.790
Step: 244342, Episode: 247, Reward: -21.00, Epsilon: 0.789
Step: 245563, Episode: 248, Reward: -20.00, Epsilon: 0.788
Step: 246710, Episode: 249, Reward: -19.00, Epsilon: 0.787
Step: 247868, Episode: 250, Reward: -17.00, Epsilon: 0.786
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 250, Step 247868) ---
Avg Reward over 20 episodes: -18.25 (Duration: 22.24s)
--------------------------------------------------
Step: 248964, Episode: 251, Reward: -20.00, Epsilon: 0.785
Step: 249807, Episode: 252, Reward: -21.00, Epsilon: 0.784
Step: 250842, Episode: 253, Reward: -21.00, Epsilon: 0.783
Step: 251711, Episode: 254, Reward: -21.00, Epsilon: 0.782
Step: 252957, Episode: 255, Reward: -19.00, Epsilon: 0.781
