Ep 388 | Reward: 14.0
Ep 389 | Reward: 42.0
Ep 390 | Reward: 16.0
Ep 391 | Reward: 27.0
Ep 392 | Reward: 27.0
Ep 393 | Reward: 19.0
Ep 394 | Reward: 14.0
Ep 395 | Reward: 18.0
Ep 396 | Reward: 16.0
Ep 397 | Reward: 24.0
Ep 398 | Reward: 25.0
Ep 399 | Reward: 21.0
Ep 400 | Reward: 34.0
Ep 401 | Reward: 41.0
Ep 402 | Reward: 60.0
Ep 403 | Reward: 23.0
Ep 404 | Reward: 17.0
Ep 405 | Reward: 25.0
Ep 406 | Reward: 26.0
Ep 407 | Reward: 29.0
Ep 408 | Reward: 14.0
Ep 409 | Reward: 18.0
Ep 410 | Reward: 37.0
Ep 411 | Reward: 32.0
Ep 412 | Reward: 22.0
Ep 413 | Reward: 13.0
Ep 414 | Reward: 14.0
Ep 415 | Reward: 26.0
Ep 416 | Reward: 28.0
Ep 417 | Reward: 27.0
Ep 418 | Reward: 19.0
Ep 419 | Reward: 17.0
Ep 420 | Reward: 17.0
Ep 421 | Reward: 21.0
Ep 422 | Reward: 34.0
Ep 423 | Reward: 28.0
Ep 424 | Reward: 22.0
Ep 425 | Reward: 19.0
Ep 426 | Reward: 19.0
Ep 427 | Reward: 17.0
Ep 428 | Reward: 32.0
Ep 429 | Reward: 29.0
Ep 430 | Reward: 25.0
Ep 431 | Reward: 24.0
Ep 432 | Reward: 14.0
Ep 433 | Reward: 19.0
Ep 434 | Reward: 19.0
Ep 435 | Reward: 29.0
Ep 436 | Reward: 17.0
Ep 437 | Reward: 13.0
Ep 438 | Reward: 17.0
Ep 439 | Reward: 14.0
Ep 440 | Reward: 16.0
Ep 441 | Reward: 14.0
Ep 442 | Reward: 38.0
Ep 443 | Reward: 16.0
Ep 444 | Reward: 10.0
Ep 445 | Reward: 12.0
Ep 446 | Reward: 51.0
Ep 447 | Reward: 34.0
Ep 448 | Reward: 20.0
Ep 449 | Reward: 31.0
Ep 450 | Reward: 15.0
Ep 451 | Reward: 38.0
Ep 452 | Reward: 12.0
Ep 453 | Reward: 20.0
Ep 454 | Reward: 14.0
Ep 455 | Reward: 15.0
Ep 456 | Reward: 89.0
Ep 457 | Reward: 16.0
Ep 458 | Reward: 13.0
Ep 459 | Reward: 16.0
Ep 460 | Reward: 25.0
Ep 461 | Reward: 37.0
Ep 462 | Reward: 13.0
Ep 463 | Reward: 32.0
Ep 464 | Reward: 27.0
Ep 465 | Reward: 17.0
Ep 466 | Reward: 11.0
Ep 467 | Reward: 30.0
Ep 468 | Reward: 26.0
Ep 469 | Reward: 33.0
Ep 470 | Reward: 46.0
Ep 471 | Reward: 15.0
Ep 472 | Reward: 16.0
Ep 473 | Reward: 13.0
Ep 474 | Reward: 23.0
Ep 475 | Reward: 20.0
Ep 476 | Reward: 10.0
Ep 477 | Reward: 52.0
Ep 478 | Reward: 20.0
Ep 479 | Reward: 13.0
Ep 480 | Reward: 17.0
Ep 481 | Reward: 14.0
Ep 482 | Reward: 22.0
Ep 483 | Reward: 37.0
Ep 484 | Reward: 21.0
Ep 485 | Reward: 20.0
Ep 486 | Reward: 23.0
Ep 487 | Reward: 20.0
Ep 488 | Reward: 20.0
Ep 489 | Reward: 25.0
Ep 490 | Reward: 13.0
Ep 491 | Reward: 12.0
Ep 492 | Reward: 39.0
Ep 493 | Reward: 37.0
Ep 494 | Reward: 13.0
Ep 495 | Reward: 13.0
Ep 496 | Reward: 25.0
Ep 497 | Reward: 22.0
Ep 498 | Reward: 36.0
Ep 499 | Reward: 12.0
Ep 500 | Reward: 24.0
Ep 501 | Reward: 17.0
Ep 502 | Reward: 12.0
Ep 503 | Reward: 13.0
Ep 504 | Reward: 30.0
Ep 505 | Reward: 20.0
Ep 506 | Reward: 23.0
Ep 507 | Reward: 33.0
Ep 508 | Reward: 32.0
Ep 509 | Reward: 23.0
Ep 510 | Reward: 11.0
Ep 511 | Reward: 12.0
Ep 512 | Reward: 14.0
Ep 513 | Reward: 17.0
Ep 514 | Reward: 18.0
Ep 515 | Reward: 13.0
Ep 516 | Reward: 24.0
Ep 517 | Reward: 11.0
Ep 518 | Reward: 15.0
Ep 519 | Reward: 26.0
Ep 520 | Reward: 28.0
Ep 521 | Reward: 9.0
Ep 522 | Reward: 12.0
Ep 523 | Reward: 16.0
Ep 524 | Reward: 16.0
Ep 525 | Reward: 16.0
Ep 526 | Reward: 42.0
Ep 527 | Reward: 16.0
Ep 528 | Reward: 24.0
Ep 529 | Reward: 16.0
Ep 530 | Reward: 20.0
Ep 531 | Reward: 16.0
Ep 532 | Reward: 24.0
Ep 533 | Reward: 12.0
Ep 534 | Reward: 15.0
Ep 535 | Reward: 18.0
Ep 536 | Reward: 12.0
Ep 537 | Reward: 32.0
Ep 538 | Reward: 11.0
Ep 539 | Reward: 13.0
Ep 540 | Reward: 47.0
Ep 541 | Reward: 26.0
Ep 542 | Reward: 20.0
Ep 543 | Reward: 20.0
Ep 544 | Reward: 38.0
Ep 545 | Reward: 19.0
Ep 546 | Reward: 25.0
Ep 547 | Reward: 24.0
Ep 548 | Reward: 11.0
Ep 549 | Reward: 14.0
Ep 550 | Reward: 15.0
Ep 551 | Reward: 20.0
Ep 552 | Reward: 29.0
Ep 553 | Reward: 18.0
Ep 554 | Reward: 19.0
Ep 555 | Reward: 11.0
Ep 556 | Reward: 11.0
Ep 557 | Reward: 19.0
Ep 558 | Reward: 19.0
Ep 559 | Reward: 13.0
Ep 560 | Reward: 21.0
Ep 561 | Reward: 14.0
Ep 562 | Reward: 42.0
Ep 563 | Reward: 29.0
Ep 564 | Reward: 11.0
Ep 565 | Reward: 10.0
Ep 566 | Reward: 21.0
Ep 567 | Reward: 27.0
Ep 568 | Reward: 14.0
Ep 569 | Reward: 12.0
Ep 570 | Reward: 14.0
Ep 571 | Reward: 16.0
Ep 572 | Reward: 25.0
Ep 573 | Reward: 20.0
Ep 574 | Reward: 14.0
Ep 575 | Reward: 18.0
Ep 576 | Reward: 24.0
Ep 577 | Reward: 15.0
Ep 578 | Reward: 20.0
Ep 579 | Reward: 17.0
Ep 580 | Reward: 22.0
Ep 581 | Reward: 26.0
Ep 582 | Reward: 16.0
Ep 583 | Reward: 13.0
Ep 584 | Reward: 10.0
Ep 585 | Reward: 36.0
Ep 586 | Reward: 27.0
Ep 587 | Reward: 63.0
Ep 588 | Reward: 28.0
Ep 589 | Reward: 12.0
Ep 590 | Reward: 15.0
Ep 591 | Reward: 24.0
Ep 592 | Reward: 20.0
Ep 593 | Reward: 16.0
Ep 594 | Reward: 21.0
Ep 595 | Reward: 62.0
Ep 596 | Reward: 13.0
Ep 597 | Reward: 60.0
Ep 598 | Reward: 20.0
Ep 599 | Reward: 14.0
Ep 600 | Reward: 22.0
Ep 601 | Reward: 19.0
Ep 602 | Reward: 23.0
Ep 603 | Reward: 21.0
Ep 604 | Reward: 30.0
Ep 605 | Reward: 15.0
Ep 606 | Reward: 12.0
Ep 607 | Reward: 18.0
Ep 608 | Reward: 18.0
Ep 609 | Reward: 17.0
Ep 610 | Reward: 24.0
Ep 611 | Reward: 11.0
Ep 612 | Reward: 13.0
Ep 613 | Reward: 16.0
Ep 614 | Reward: 15.0
Ep 615 | Reward: 20.0
Ep 616 | Reward: 20.0
Ep 617 | Reward: 47.0
Ep 618 | Reward: 23.0
Ep 619 | Reward: 35.0
Ep 620 | Reward: 30.0
Ep 621 | Reward: 16.0
Ep 622 | Reward: 17.0
Ep 623 | Reward: 15.0
Ep 624 | Reward: 17.0
Ep 625 | Reward: 28.0
Ep 626 | Reward: 19.0
Ep 627 | Reward: 17.0
Ep 628 | Reward: 18.0
Ep 629 | Reward: 17.0
Ep 630 | Reward: 11.0
Ep 631 | Reward: 15.0
Ep 632 | Reward: 23.0
Ep 633 | Reward: 27.0
Ep 634 | Reward: 18.0
Ep 635 | Reward: 39.0
Ep 636 | Reward: 22.0
Ep 637 | Reward: 23.0
Ep 638 | Reward: 16.0
Ep 639 | Reward: 23.0
Ep 640 | Reward: 19.0
Ep 641 | Reward: 24.0
Ep 642 | Reward: 12.0
Ep 643 | Reward: 23.0
Ep 644 | Reward: 25.0
Ep 645 | Reward: 43.0
Ep 646 | Reward: 22.0
Ep 647 | Reward: 72.0
Ep 648 | Reward: 11.0
Ep 649 | Reward: 17.0
Ep 650 | Reward: 14.0
Ep 651 | Reward: 9.0
Ep 652 | Reward: 21.0
Ep 653 | Reward: 12.0
Ep 654 | Reward: 14.0
Ep 655 | Reward: 19.0
Ep 656 | Reward: 14.0
Ep 657 | Reward: 18.0
Ep 658 | Reward: 28.0
Ep 659 | Reward: 22.0
Ep 660 | Reward: 23.0
Ep 661 | Reward: 35.0
Ep 662 | Reward: 21.0
Ep 663 | Reward: 11.0
Ep 664 | Reward: 15.0
Ep 665 | Reward: 64.0
Ep 666 | Reward: 12.0
Ep 667 | Reward: 22.0
Ep 668 | Reward: 19.0
Ep 669 | Reward: 15.0
Ep 670 | Reward: 22.0
Ep 671 | Reward: 14.0
Ep 672 | Reward: 15.0
Ep 673 | Reward: 16.0
Ep 674 | Reward: 20.0
Ep 675 | Reward: 11.0
Ep 676 | Reward: 32.0
Ep 677 | Reward: 16.0
Ep 678 | Reward: 30.0
Ep 679 | Reward: 15.0
Ep 680 | Reward: 59.0
Ep 681 | Reward: 12.0
Ep 682 | Reward: 12.0
Ep 683 | Reward: 30.0
Ep 684 | Reward: 13.0
Ep 685 | Reward: 20.0
Ep 686 | Reward: 11.0
Ep 687 | Reward: 44.0
Ep 688 | Reward: 12.0
Ep 689 | Reward: 14.0
Ep 690 | Reward: 41.0
Ep 691 | Reward: 26.0
Ep 692 | Reward: 23.0
Ep 693 | Reward: 21.0
Ep 694 | Reward: 16.0
Ep 695 | Reward: 12.0
Ep 696 | Reward: 13.0
Ep 697 | Reward: 35.0
Ep 698 | Reward: 13.0
Ep 699 | Reward: 16.0
Ep 700 | Reward: 22.0
Ep 701 | Reward: 19.0
Ep 702 | Reward: 12.0
Ep 703 | Reward: 14.0
Ep 704 | Reward: 17.0
Ep 705 | Reward: 23.0
Ep 706 | Reward: 29.0
Ep 707 | Reward: 32.0
Ep 708 | Reward: 22.0
Ep 709 | Reward: 12.0
Ep 710 | Reward: 16.0
Ep 711 | Reward: 26.0
Ep 712 | Reward: 10.0
Ep 713 | Reward: 13.0
Ep 714 | Reward: 14.0
Ep 715 | Reward: 26.0
Ep 716 | Reward: 32.0
Ep 717 | Reward: 60.0
Ep 718 | Reward: 24.0
Ep 719 | Reward: 28.0
Ep 720 | Reward: 17.0
Ep 721 | Reward: 11.0
Ep 722 | Reward: 15.0
Ep 723 | Reward: 20.0
Ep 724 | Reward: 28.0
Ep 725 | Reward: 31.0
Ep 726 | Reward: 19.0
Ep 727 | Reward: 56.0
Ep 728 | Reward: 21.0
Ep 729 | Reward: 21.0
Ep 730 | Reward: 25.0
Ep 731 | Reward: 18.0
Ep 732 | Reward: 15.0
Ep 733 | Reward: 20.0
Ep 734 | Reward: 28.0
Ep 735 | Reward: 30.0
Ep 736 | Reward: 16.0
Ep 737 | Reward: 19.0
Ep 738 | Reward: 16.0
Ep 739 | Reward: 31.0
Ep 740 | Reward: 16.0
Ep 741 | Reward: 9.0
Ep 742 | Reward: 11.0
Ep 743 | Reward: 22.0
Ep 744 | Reward: 12.0
Ep 745 | Reward: 32.0
Ep 746 | Reward: 40.0
Ep 747 | Reward: 17.0
Ep 748 | Reward: 19.0
Ep 749 | Reward: 22.0
Ep 750 | Reward: 27.0
Ep 751 | Reward: 10.0
Ep 752 | Reward: 26.0
Ep 753 | Reward: 14.0
Ep 754 | Reward: 21.0
Ep 755 | Reward: 19.0
Ep 756 | Reward: 9.0
Ep 757 | Reward: 12.0
Ep 758 | Reward: 16.0
Ep 759 | Reward: 19.0
Ep 760 | Reward: 18.0
Ep 761 | Reward: 14.0
Ep 762 | Reward: 27.0
Ep 763 | Reward: 15.0
Ep 764 | Reward: 20.0
Ep 765 | Reward: 35.0
Ep 766 | Reward: 21.0
Ep 767 | Reward: 29.0
Ep 768 | Reward: 52.0
Ep 769 | Reward: 13.0
Ep 770 | Reward: 23.0
Ep 771 | Reward: 10.0
Ep 772 | Reward: 19.0
Ep 773 | Reward: 13.0
Ep 774 | Reward: 11.0
Ep 775 | Reward: 18.0
Ep 776 | Reward: 13.0
Ep 777 | Reward: 10.0
Ep 778 | Reward: 16.0
Ep 779 | Reward: 16.0
Ep 780 | Reward: 16.0
Ep 781 | Reward: 29.0
Ep 782 | Reward: 14.0
Ep 783 | Reward: 12.0
Ep 784 | Reward: 47.0
Ep 785 | Reward: 44.0
Ep 786 | Reward: 21.0
Ep 787 | Reward: 22.0
Ep 788 | Reward: 29.0
Ep 789 | Reward: 57.0
Ep 790 | Reward: 26.0
Ep 791 | Reward: 27.0
Ep 792 | Reward: 15.0
Ep 793 | Reward: 29.0
Ep 794 | Reward: 29.0
Ep 795 | Reward: 31.0
Ep 796 | Reward: 9.0
Ep 797 | Reward: 15.0
Ep 798 | Reward: 40.0
Ep 799 | Reward: 17.0
Ep 800 | Reward: 23.0
Ep 801 | Reward: 15.0
Ep 802 | Reward: 20.0
Ep 803 | Reward: 33.0
Ep 804 | Reward: 15.0
Ep 805 | Reward: 16.0
Ep 806 | Reward: 10.0
Ep 807 | Reward: 19.0
Ep 808 | Reward: 23.0
Ep 809 | Reward: 25.0
Ep 810 | Reward: 9.0
Ep 811 | Reward: 38.0
Ep 812 | Reward: 19.0
Ep 813 | Reward: 16.0
Ep 814 | Reward: 23.0
Ep 815 | Reward: 17.0
Ep 816 | Reward: 34.0
Ep 817 | Reward: 18.0
Ep 818 | Reward: 18.0
Ep 819 | Reward: 37.0
Ep 820 | Reward: 10.0
Ep 821 | Reward: 54.0
Ep 822 | Reward: 22.0
Ep 823 | Reward: 24.0
Ep 824 | Reward: 25.0
Ep 825 | Reward: 45.0
Ep 826 | Reward: 33.0
Ep 827 | Reward: 10.0
Ep 828 | Reward: 30.0
Ep 829 | Reward: 25.0
Ep 830 | Reward: 19.0
Ep 831 | Reward: 19.0
Ep 832 | Reward: 16.0
Ep 833 | Reward: 15.0
Ep 834 | Reward: 24.0
Ep 835 | Reward: 32.0
Ep 836 | Reward: 11.0
Ep 837 | Reward: 39.0
Ep 838 | Reward: 29.0
Ep 839 | Reward: 16.0
Ep 840 | Reward: 22.0
Ep 841 | Reward: 14.0
