Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Prioritized Replay Buffer
Models and logs will be saved in: ./results_task3
Avg Reward over 20 episodes: -12.50 (Duration: 48.49s)
--------------------------------------------------
*** New best model saved: ./results_task3\dqn_pong_enhanced_ddqnTrue_perTrue_multiTrue_n3_best.pt ***
Step: 191621, Episode: 151, Reward: -12.00, Epsilon: 0.281
Step: 193865, Episode: 152, Reward: -16.00, Epsilon: 0.272
Step: 195902, Episode: 153, Reward: -15.00, Epsilon: 0.264
Step: 197960, Episode: 154, Reward: -16.00, Epsilon: 0.256
Step: 200727, Episode: 155, Reward: -15.00, Epsilon: 0.245
--- Task 3 model snapshot saved: ./results_task3\dqn_pong_enhanced_ddqnTrue_perTrue_multiTrue_n3_200000.pt ---
Step: 203267, Episode: 156, Reward: -12.00, Epsilon: 0.235
Step: 205895, Episode: 157, Reward: -9.00, Epsilon: 0.224
Step: 208827, Episode: 158, Reward: -10.00, Epsilon: 0.213
Step: 210713, Episode: 159, Reward: -16.00, Epsilon: 0.205
Step: 212904, Episode: 160, Reward: -13.00, Epsilon: 0.197
Step: 215496, Episode: 161, Reward: -12.00, Epsilon: 0.186
Step: 218492, Episode: 162, Reward: -8.00, Epsilon: 0.174
Step: 221225, Episode: 163, Reward: -11.00, Epsilon: 0.164
Step: 223569, Episode: 164, Reward: -13.00, Epsilon: 0.154
Step: 225772, Episode: 165, Reward: -14.00, Epsilon: 0.146
Step: 228549, Episode: 166, Reward: -11.00, Epsilon: 0.135
Step: 231211, Episode: 167, Reward: -11.00, Epsilon: 0.124
Step: 233919, Episode: 168, Reward: -14.00, Epsilon: 0.113
Step: 237059, Episode: 169, Reward: -13.00, Epsilon: 0.101
Step: 240132, Episode: 170, Reward: -8.00, Epsilon: 0.089
Step: 242898, Episode: 171, Reward: -14.00, Epsilon: 0.078
Step: 245725, Episode: 172, Reward: -13.00, Epsilon: 0.067
Step: 250116, Episode: 173, Reward: -2.00, Epsilon: 0.049
Step: 252709, Episode: 174, Reward: -14.00, Epsilon: 0.039
Step: 255266, Episode: 175, Reward: -13.00, Epsilon: 0.029
Step: 258761, Episode: 176, Reward: -12.00, Epsilon: 0.015
Step: 261695, Episode: 177, Reward: -7.00, Epsilon: 0.010
Step: 265473, Episode: 178, Reward: -7.00, Epsilon: 0.010
Step: 268578, Episode: 179, Reward: -12.00, Epsilon: 0.010
Step: 271526, Episode: 180, Reward: -11.00, Epsilon: 0.010
Step: 275819, Episode: 181, Reward: -5.00, Epsilon: 0.010
Step: 279654, Episode: 182, Reward: 1.00, Epsilon: 0.010
Step: 283044, Episode: 183, Reward: -4.00, Epsilon: 0.010
Step: 286131, Episode: 184, Reward: -6.00, Epsilon: 0.010
Step: 289926, Episode: 185, Reward: -4.00, Epsilon: 0.010
Step: 293582, Episode: 186, Reward: 2.00, Epsilon: 0.010
Step: 296153, Episode: 187, Reward: -14.00, Epsilon: 0.010
Step: 299903, Episode: 188, Reward: 2.00, Epsilon: 0.010
Step: 303537, Episode: 189, Reward: -1.00, Epsilon: 0.010
Step: 307089, Episode: 190, Reward: 1.00, Epsilon: 0.010
Step: 310529, Episode: 191, Reward: -3.00, Epsilon: 0.010
Step: 314693, Episode: 192, Reward: -3.00, Epsilon: 0.010
Step: 317704, Episode: 193, Reward: -10.00, Epsilon: 0.010
Step: 321957, Episode: 194, Reward: -1.00, Epsilon: 0.010
Step: 325893, Episode: 195, Reward: -3.00, Epsilon: 0.010
Step: 329749, Episode: 196, Reward: 1.00, Epsilon: 0.010
Step: 333321, Episode: 197, Reward: 5.00, Epsilon: 0.010
Step: 336904, Episode: 198, Reward: -6.00, Epsilon: 0.010
Step: 340068, Episode: 199, Reward: 5.00, Epsilon: 0.010
Step: 343668, Episode: 200, Reward: 2.00, Epsilon: 0.010
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 200, Step 343668) ---
Avg Reward over 20 episodes: 0.95 (Duration: 65.90s)
--------------------------------------------------
*** New best model saved: ./results_task3\dqn_pong_enhanced_ddqnTrue_perTrue_multiTrue_n3_best.pt ***
Step: 346559, Episode: 201, Reward: 12.00, Epsilon: 0.010
Step: 350016, Episode: 202, Reward: 5.00, Epsilon: 0.010
Step: 352929, Episode: 203, Reward: 9.00, Epsilon: 0.010
Step: 356912, Episode: 204, Reward: 2.00, Epsilon: 0.010
Step: 359955, Episode: 205, Reward: 8.00, Epsilon: 0.010
Step: 362717, Episode: 206, Reward: 11.00, Epsilon: 0.010
Step: 366031, Episode: 207, Reward: 9.00, Epsilon: 0.010
